HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:18:00 000:000:000,34565
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:19:00 000:000:000,34884
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:20:00 000:000:000,34129
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:21:00 000:000:000,33494
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:22:00 000:000:000,34219
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:23:00 000:000:000,34229
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:24:00 000:000:000,34413
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:25:00 000:000:000,33868
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:26:00 000:000:000,34030
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:27:00 000:000:000,33888
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:28:00 000:000:000,33954
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:29:00 000:000:000,33891
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:30:00 000:000:000,34512
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:31:00 000:000:000,33954
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:32:00 000:000:000,33578
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:33:00 000:000:000,33869
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:34:00 000:000:000,34070
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:35:00 000:000:000,34145
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:36:00 000:000:000,33993
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:37:00 000:000:000,33932
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:38:00 000:000:000,34255
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:39:00 000:000:000,34703
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:40:00 000:000:000,34253
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:41:00 000:000:000,33705
HFEMS.MRPAP.01.SH01.PL004.01.VAL,2022-01-01 01:42:00 000:000:000,34186
